Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO RÁDIO COMUNITÁRIA E CULTURAL DE POÇO VERDE FM_Mhz,AVENIDA ANTÔNIO DÓRIA,Poço Verde,SE,( S ),10S424300/38W104400,285 / 104.90,ZYM629
ASSOCIACAO COMUNITARIA IMACULADA CONCEICAO - ACIC,"RUA A, S/N",Propriá,SE,,10S124500/36W503200,285 / 104.90,ZYM615
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE SANTA LUZIA DO ITANHI - ARACOSLI,,Santa Luzia do Itanhy,SE,( N ),,285 / 104.90,
ASSOCIACAO RADIODIFUSAO COMUNITARIA SANTA ROSA DE LIMA,,Santa Rosa de Lima,SE,( N ),,292 / 106.30,
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE SANTANA DO SAO FRANCISCO - ARACOSSAF,,Santana do São Francisco,SE,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL ELIZA OLINDA (ACCEO),AV. JOAQUIM MAYNARD;,Santo Amaro das Brotas,SE,( S ),10S473100/37W032900,290 / 105.90,ZYM634
ASSOCIAÇÃO COMUNITÁRIA RÁDIO COMUNIDADE FM,RUA D,São Cristóvão,SE,( S ),10S560100/37W071600,292 / 106.30,ZYM632
CENTRO COMUNITARIO JOSE BATALHA DE GOIS - CECBGOIS,"RUA FREI NORBERTO, 31",São Cristóvão,SE,,11S004700/37W121700,292 / 106.30,ZYM616
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA SÃO DOMINGOS - RÁDIO COMUNITÁRIA SÃO DOMINGOS FM,RUA A,São Domingos,SE,( S ),10S470700/37W340900,285 / 104.90,ZYM623
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE SAO FRANCISCO - ARACOSF,,São Francisco,SE,( N ),,285 / 104.90,
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE SIMÃO DIAS,RUA DR. JOVIANO DE CARVALHO,Simão Dias,SE,( S ),10S441300/37W483700,200 / 87.90,ZYM633
ASSOCIAÇÃO COMUNITÁRIA SÓCIO CULTURAL KIRIRIS,PRAÇA GETÚLIO VARGAS,Tomar do Geru,SE,,11S211500/37W503800,285 / 104.90,ZYM628
ASSOCIACAO DA RADIO COMUNITARIA LIFE FM,,Adamantina,SP,( N ),,300 / 107.90,
ASSOCIAÇÃO COMUNITÁRIA DA  ESTÂNCIA HIDROMINERAL DE ÁGUAS DA PRATA - SP,RUA GABRIEL RABELO DE ANDRADE,Águas da Prata,SP,( S ),21S561800/46W430500,200 / 87.90,ZYU870
ASSOCIAÇÃO DE RADIODIFUSÃO E COMUNICAÇÃO COMUNITÁRIA DE ÁGUAS DE LINDÓIA,RUA CRISTO REDENTOR,Águas de Lindóia,SP,( S ),22S281400/46W365600,198 / 87.50,ZYU729
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DA ESTÂNCIA,"RUA ADEMAR DE BARROS, 90",Águas de Santa Bárbara,SP,,22S530400/49W141100,200 / 87.90,ZYM727
ASSOCIACAO RADIO COMUNITARIA DO 3,"AVENIDA FAUSTINO RIBEIRO, S/N",Agudos,SP,( S ),22S285600/48W594200,200 / 87.90,ZYM864
ASSOCIAÇÃO COMUNITÁRIA DE ATENDIMENTO SOCIAL E ASSISTENCIAL MARCONDENSE,RUA TROMBETA,Alfredo Marcondes,SP,,21S570400/51W250100,290 / 105.90,ZYU925
ASSOCIAÇÃO LIBERDADE E TRABALHO PELA CULTURA DE ALTINÓPOLIS,RUA RIO GRANDE DO SUL,Altinópolis,SP,,21S010900/47W224900,290 / 105.90,ZYU895
ASSOCIAÇÃO COMUNITÁRIA RENASCER,RUA JOAQUIM RIBEIRO,Alto Alegre,SP,( S ),21S345900/50W100100,254 / 98.70,ZYU767
ASSOCIAÇÃO DOS MORADORES DO JARDIM OLIDEL E ADJACÊNCIAS,RUA DOS CAMBARÁS,Alumínio,SP,,23S305600/47W145500,290 / 105.90,ZYU885
ASSOCIAÇÃO COMUNITÁRIA AMIGOS DE ÁLVARES FLORENCE,RUA MINAS GERAIS,Álvares Florence,SP,( S ),20S191200/49W541800,200 / 87.90,ZYU671
ASSOCIACAO CULTURAL COMUNITARIA DE RADIODIFUSAO GRANDE VISAO PARQUE DOS PINHEIROS - ALVARES MACHADO - SAO PAULO,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE AMPARO SOCIAL,PRAÇA SÃO JOSÉ,Álvares Machado,SP,( S ),22S044500/51W281900,285 / 104.90,ZYU605
"ASSOCIAÇÃO VIDA NOVA EDUCACIONAL, CULTURAL E COMUNICAÇÃO SOCIAL",RUA SAO THIAGO,Americana,SP,( S ),22S432000/47W185400,285 / 104.90,ZYU661
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL CIDADE DOÇURA,RUA EMÍLIA GALLI,Américo Brasiliense,SP,,21S433100/48W060700,285 / 104.90,ZYU746
ASSOCIAÇÃO COMUNITÁRIA AMÉRICO DE CAMPOS,"RUA JOSE BATISTA DE SOUZA, 796",Américo de Campos,SP,( S ),20S175900/49W441400,200 / 87.90,ZYM783
ASSOCIAÇÃO AMPARENSE PARA O DESENVOLVIMENTO CULTURAL E SOCIAL,RUA COMENDADOR GUIMARAES,Amparo,SP,( S ),22S394000/46W453000,290 / 105.90,ZYU606
ASSOCIACAO MOVIMENTO COMUNITARIO RADIO NOSSA TERRA FM,"RUA 'A', 127",Analândia,SP,( S ),22S083500/47W394700,290 / 105.90,ZYM726
"ASSOCIAÇÃO DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL E SOCIAL METRÓPOLE",RUA  JOSE AUGUSTO DE CARVALHO,Andradina,SP,( S ),20S541000/51W225200,200 / 87.90,ZYM778
ASSOCIACAO COMUNITARIA BOM RETIRO DA ESPERANCA,"RUA JULIO FERREIRA FOGACA, 285",Angatuba,SP,( S ),23S335300/48W181900,290 / 105.90,ZYM909
ASSOCIAÇÃO DE COMUNICAÇÃO COMUNITÁRIA NAVEGANTES DE ANHEMBI,RUA VITÓRIO CALCEDONI,Anhembi,SP,( S ),22S472200/48W073800,200 / 87.90,ZYU783
ASSOCIACAO COMUNITARIA E CULTURAL DE APARECIDA D'OESTE,RUA PEDRO JOSE DOS REIS,Aparecida d'Oeste,SP,( S ),20S272900/50W530300,290 / 105.90,ZYM767
ASSOCIAÇÃO AÇÃO MORRO DO OURO - AMO,RUA MAESTRO CARLOS SPINO NASCIMENTO,Apiaí,SP,( S ),24S302200/48W501400,200 / 87.90,ZYU901
ASSOCIAÇÃO COMUNITÁRIA PAINEIRA,RUA PERNAMBUCO,Araçariguama,SP,( S ),23S254500/47W034800,198 / 87.50,ZYU858
ASSOCIAÇÃO COMUNITÁRIA EXCELSIOR,RUA  ANA NERY,Araçatuba,SP,( S ),21S111000/50W264200,285 / 104.90,ZYU765
ASSOCIAÇÃO CULTURAL DE DIFUSÃO COMUNITÁRIA BOAS NOVAS,RUA COMENDADOR ALBERTO DIAS,Araçatuba,SP,( S ),21S132100/50W273400,285 / 104.90,ZYU860
ASSOCIACAO COMUNITARIA AMIGOS DO MEIO AMBIENTE DE ARAMINA,"RUA CAPITAO JOAO TERRA, 513",Aramina,SP,,20S050400/47W471800,290 / 105.90,ZYM858
ASSOCIAÇÃO COMUNITÁRIA DE ARAPEÍ,RUA CAPITÃO DOMICIANO,Arapeí,SP,( S ),22S402600/44W265200,200 / 87.90,ZYU721
ASSOCIAÇÃO DOS MORADORES MONTE ALEGRE III,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA CENTRAL DE ARARAQUARA,RUA SÃO BENTO,Araraquara,SP,( S ),21S465100/48W104100,285 / 104.90,ZYM725
ASSOCIACÃO COMUNITÁRIA E CULTURAL RURAL DE ARARAS,AVENIDA LEME,Araras,SP,( S ),22S194700/47W231100,200 / 87.90,ZYU808
ASSOCIAÇÃO BENEFICENTE CULTURAL DE COMUNICAÇÃO COMUNITÁRIA SOLIDARIEDADE DE AREALVA,RUA PEDRO PEREIRA,Arealva,SP,( S ),22S014300/48W544600,200 / 87.90,ZYU657
ASSOCIAÇÃO COMUNITÁRIA CULTURAL AREIENSE,RUA XV DE NOVEMBRO,Areias,SP,( S ),22S345300/44W415700,200 / 87.90,ZYU794
ASSOCIACAO ASSIST.E EDUC.COMUNID.SOLID.SHALON DE AREIOPOLIS,PRACA DA MATRIZ,Areiópolis,SP,( S ),22S400600/48W395500,200 / 87.90,ZYM952
ASSOCIAÇÃO COMUNITÁRIA ARTÍSTICA E CULTURAL DE ARIRANHA,RUA SEVERINO MENEGUELO,Ariranha,SP,( S ),21S113900/48W470600,285 / 104.90,ZYU667
ASSOCIACAO COMUNITARIA E CULTURAL DE ARTUR NOGUEIRA,,,SP,( N ),,285 / 104.90,
ASSOCIACAO COMUNITARIA RADIO CIDADE DE ASSIS FM,RUA CAMBARA,Assis,SP,( S ),22S383100/50W200000,300 / 107.90,ZYL501
ASSOCIAÇÃO DE DIFUSÃO CULTURAL E COMUNITÁRIA BOAS NOVAS DE ASSIS - SP,RUA AMADOR BUENO,Assis,SP,( S ),22S390500/50W261700,300 / 107.90,ZYU756
ASSOCIACAO MAOS UNIDAS,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE AVANHANDAVA,RUA MARECHAL DEODORO,Avanhandava,SP,( S ),21S273800/49W570200,254 / 98.70,ZYM844
ASSOCIAÇÃO DO MOVIMENTO DE RADIOCOMUNICAÇÃO DA CIDADE DE AVANHANDAVA,RUA BOA VISTA,Avanhandava,SP,( S ),21S284600/49W550000,254 / 98.70,ZYU888
ASSOCIAÇÃO PRÓ-CIDADANIA AVAREENSE,LARGO SAO BENEDITO; NÌ 115F,Avaré,SP,( S ),23S060700/48W551100,285 / 104.90,ZYM853
ASSOCIAÇÃO CULTURAL DE COMUNICAÇÃO COMUNITÁRIA SFERA EDUCADORA DE BADY BASSITT,RUA MIGUEL COUTO,Bady Bassitt,SP,( S ),20S540900/49W271900,285 / 104.90,ZYM819
ASSOCIACAO COMUNITARIA CULTURAL DE BALSAMO,"RUA LOURENCO DIOGO AYALA, 165",Bálsamo,SP,( S ),20S440700/49W350100,200 / 87.90,ZYM724
ASSOCIAÇÃO BANANALENSE DE RADIODIFUSÃO COMUNITÁRIA,RUA ERNANI GRAÇA,Bananal,SP,( S ),22S410100/44W192800,200 / 87.90,ZYU736
"ASSOCIAÇÃO COMUNITÁRIA NOVOS RUMOS PARA O DESENVOLVIMENTO SOCIAL, CULTURAL E ARTÍSTICO",RUA SETE DE SETEMBRO,Barbosa,SP,( S ),21S154700/49W572900,254 / 98.70,ZYU672
"ASSOCIAÇÃO COMUNITÁRIA, CULTURAL E DE PROMOÇÃO SOCIAL LUDWIG ZANKL",PASSAGEM JOAO PAULO II,Bariri,SP,( S ),22S042800/48W442400,200 / 87.90,ZYL502
ASSOCIAÇÃO COMUNITÁRIA DE APOIO SOCIAL DO MUNICÍPIO DE BARRA DO CHAPÉU,AVENIDA NOSSA SENHORA DA GUIA,Barra do Chapéu,SP,( S ),24S282100/49W012800,200 / 87.90,ZYU800
ASSOCIACAO COMUNITARIA DE COMUNICACAO DE BARRETOS,"RUA 38, NR 482, ENTRE AVENIDAS 53/55",Barretos,SP,,20S325700/48W345100,292 / 106.30,ZYM807
ASSOCIAÇÃO DE RADIODIFUSÃO ATRATIVA,AVENIDA ABDO DAHER,Barretos,SP,( S ),20S345200/48W332700,292 / 106.30,ZYU831
ASSOCIAÇÃO COMUNITÁRIA DE DIFUSÃO CULTURAL BETO ABACAXI,AVENIDA PRESIDENTE KENNEDY,Barrinha,SP,( S ),21S114600/48W093700,200 / 87.90,ZYM953
"ASSOCIAÇÃO REGIONAL DE BARUERI EDUCACIONAL, CULTURAL E COMUNICAÇÃO SOCIAL - ARB",,,SP,( N ),,198 / 87.50,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE BASTOS,RUA PRESIDENTE VARGAS,Bastos,SP,( S ),21S551600/50W435100,290 / 105.90,ZYU639
RÁDIO COMUNITÁRIA SANTÍSSIMO FM,ESTRADA MUNICIPAL BAS 030,Bastos,SP,( S ),21S575800/50W445200,290 / 105.90,ZYU772
ASSOCIACAO BATATAENSE CULTURAL - ABC,RUA ARTHUR LOPES DE OLIVEIRA,Batatais,SP,( S ),20S540000/47W352300,285 / 104.90,ZYD966
"ASSOCIAÇÃO COMUNITÁRIA, CULTURAL, RECREATIVA E SOCIAL BAURU CENTRO LESTE",RUA RIO GRANDE DO NORTE,Bauru,SP,( S ),22S190700/49W033000,200 / 87.90,ZYU743
ASSOCIAÇÃO BENEFICIENTE E COMUNITÁRIA DE BEBEDOURO,ROD. BRIGADEIRO FARIA LIMA; KM 383,Bebedouro,SP,( S ),20S541600/48W274600,300 / 107.90,ZYU825
ASSOCIACAO COMUNITARIA CAMINHO SEGURO DE BEBEDOURO,"RUA SAO JOAO, 722",Bebedouro,SP,( S ),20S563100/48W285400,300 / 107.90,ZYM765
ASSOCIAÇÃO CULTURAL POETA CRUZ E SOUZA,RUA UM,Bebedouro,SP,( S ),20S591100/48W244500,300 / 107.90,ZYU861
ASSOCIAÇÃO COMUNITÁRIA RÁDIO NOVA FM DE BERNARDINO DE CAMPOS - ACRNBC/FM,AVENIDA CORONEL ALBINO ALVES GARCIA,Bernardino de Campos,SP,( S ),23S003900/49W285400,285 / 104.90,ZYM764
AMORI - ASSOCIAÇÃO DOS MORADORES DO INDAIÁ,AVENIDA ANCHIETA,Bertioga,SP,( S ),23S483500/46W033500,291 / 106.10,ZYU903
ASSOCIAÇÃO COMUNITÁRIA CENTRO DE TRADIÇÕES NORDESTINAS,AVENIDA 19 DE MAIO,Bertioga,SP,( S ),23S495400/46W080500,291 / 106.10,ZYU664
"ASSOCIAÇÃO COMUNITÁRIA DE BILAC PARA O DESENVOLVIMENTO CULTURAL, SOCIAL E ARTÍSTICO",RUA FERNANDO RODRIGUES MANZANO,Bilac,SP,( S ),21S231600/50W281000,285 / 104.90,ZYU714
ASSOCIAÇÃO CULTURAL COMUNITÁRIA NOVA BIRIGUI,RUA NILO PEÇANHA,Birigui,SP,( S ),21S173600/50W203400,285 / 104.90,ZYU689
ASSOCIAÇÃO ASSISTENCIAL SÃO SEBASTIÃO DE BOA ESPERANÇA DO SUL,RUA LOURENCO ROMANO; S/N,Boa Esperança do Sul,SP,( S ),22S000700/48W232400,285 / 104.90,ZYM768
ASSOCIAÇÃO COMUNITÁRIA DE APOIO AS ENTIDADES DE BOCAINA,RUA JOÃO DE NAPOLI E ALVIM,Bocaina,SP,( S ),22S094000/48W321700,285 / 104.90,ZYM845
ASSOCIAÇÃO MOVIMENTO RÁDIO COMUNITÁRIA ASSOCIAÇÃO JONI BRAGA EDUCAÇÃO ARTE & CULTURA RÁDIO NOVA BOFETE - RNB - FM,RUA JOSUÉ DE ARRUDA,Bofete,SP,( S ),23S061500/48W155600,200 / 87.90,ZYU693
ASSOCIAÇÃO CULTURAL IDEAL,RUA JOÃO MARCON,Boituva,SP,( S ),23S162600/47W392600,285 / 104.90,ZYM954
ASSOCIAÇÃO BENEFICENTE CULTURAL DE RADIODIFUSÃO DE BOM JESUS DOS PERDÕES - RCP,RUA JOSÉ DO PATROCÍNIO,Bom Jesus dos Perdões,SP,( S ),23S074600/46W281100,198 / 87.50,ZYU643
ASSOCIACAO DOS CAVALEIROS DE BOM SUCESSO DE ITARARE - ACBSI,,,SP,( N ),,200 / 87.90,
"ASSOCIAÇÃO COMUNITÁRIA BENEFICENTE, CULTURAL E SOCIAL BORBOREMENSE",RUA OZÓRIO PRUDENCIANO DE SOUZA,Borborema,SP,( S ),21S374700/49W042000,285 / 104.90,ZYM787
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DO BAIRRO NÚCLEO HABITACIONAL AUTA AGUIRRE DE CAMPOS SALLES BOREBI - SP,RUA OLÍVIO BUSNARDO,Borebi,SP,,22S343400/48W580500,200 / 87.90,ZYU771
ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA DE BOTUCATU,RUA  ROMEU LEVY,Botucatu,SP,( S ),22S543000/48W261600,200 / 87.90,ZYU873
ASSOCIAÇÃO EDUCATIVA E SOCIAL DO DISTRITO DE RUBIÃO JÚNIOR,MORRO DE RUBIÃO JÚNIOR,Botucatu,SP,( S ),22S533500/48W291900,200 / 87.90,ZYU890
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE BRAGANÇA PAULISTA,RUA PEDRO PAULO SQUILACCI,Bragança Paulista,SP,,22S543200/46W332600,290 / 105.90,ZYU872
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE BRAGANÇA PAULISTA,RUA AMAZONAS,Bragança Paulista,SP,,22S543200/46W332600,290 / 105.90,
ASSOCIAÇÃO CULTURAL O CAMINHO,rua bocaina,Bragança Paulista,SP,( S ),22S564400/46W324700,290 / 105.90,ZYM862
"ASSOCIAÇÃO PORTINARI COMUNITÁRIA DE CULTURA, LAZER E COMUNICAÇÃO DE BRODOWSKI",AVENIDA DOM LUIZ AMARAL MOUSINHO,Brodowski,SP,( S ),20S584400/47W385900,253 / 98.50,ZYU673
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE BROTAS,AVENIDA RODOLFO GUIMARÃES,Brotas,SP,( S ),22S171000/48W073800,290 / 105.90,ZYU723
ASSOCIAÇÃO CULTURAL COMUNITÁRIA MÓDULO,RUA BENJAMIN CONSTANT,Buri,SP,( S ),23S474300/48W355400,200 / 87.90,ZYU758
"ASSOCIAÇÃO COMUNITÁRIA SÃO DOMINGOS PARA O DESENVOLVIMENTO SOCIAL, CULTURAL E ARTÍSTICO",RUA JOÃO FALEIROS,Buritama,SP,( S ),21S042500/50W083100,285 / 104.90,ZYM811
ASSOCIACAO COMUNITARIA AMIGOS DO MEIO AMBIENTE,"RUA SAO PAULO, 512",Buritizal,SP,( S ),20S114600/47W423100,290 / 105.90,ZYM897
ASSOCIAÇÃO DOS MORADORES AMIGOS DE CABRÁLIA PAULISTA,RUA SEIS DE AGOSTO,Cabrália Paulista,SP,( S ),22S272800/49W203000,290 / 105.90,ZYU814
"ASSOCIAÇÃO NOVA CABREÚVA EDUCACIONAL, CULTURAL E COMUNICAÇÃO SOCIAL",RUA FRANCISCO NUNES,Cabreúva,SP,( S ),23S150700/47W031600,220 / 91.90,ZYM816
OBRA SOCIAL E CULTURAL SANTO ANTONIO,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE CACHOEIRA PAULISTA DE RADIODIFUSÃO,AVENIDA CONSELHEIRO RODRIGUES ALVES,Cachoeira Paulista,SP,( S ),22S394400/45W003300,290 / 105.90,ZYU608
ASSOCIAÇÃO COMUNITÁRIA PRÓ-DESENVOLVIMENTO CULTURAL E TURÍSTICO DE CACONDE,RUA SANTA CRUZ,Caconde,SP,( S ),21S321800/46W385500,200 / 87.90,ZYM785
ASSOCIAÇÃO CULTURAL CAFELANDENSE,RUA DOUTOR ARNALDO FERREIRA LIMA,Cafelândia,SP,,21S480800/49W362400,254 / 98.70,ZYU923
ASSOCIAÇÃO CLAMOR DOS POBRES,"RUA MOACIR MARANGONI, 222",Caiabu,SP,( S ),22S005100/51W140300,285 / 104.90,ZYM708
ASSOCIAÇÃO DE MÍDIA COMUNITÁRIA DE CAIEIRAS,RUA GUADALAJARA,Caieiras,SP,( S ),23S214500/46W443800,198 / 87.50,ZYU737
ASSOCIACAO 'ANCILLA DOMINI DE AMPARO SOCIAL E CRISTAO',"RUA MIGUEL COUTO, S/N",Caiuá,SP,( S ),21S495400/51W591700,285 / 104.90,ZYM893
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO CULTURAL E ARTÍSTICO,AVENIDA ITAJOBI,Cajamar,SP,( S ),23S202100/46W495000,198 / 87.50,ZYU695
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA CENTRAL DE CAJATI,RUA MARGINAL CHAPARRAL,Cajati,SP,( S ),24S435100/48W063800,200 / 87.90,ZYU663
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO DE CAJOBI,RUA ÂNGELO VERONENSE,Cajobi,SP,( S ),20S522100/48W483400,254 / 98.70,ZYU609
ASSOCIAÇÃO CULTURAL CAJURUENSE BOCA DA MATA DE APOIO À COMUNIDADE,RUA JUNDIAÍ,Cajuru,SP,( S ),21S155300/47W175500,200 / 87.90,ZYU780
ASSOCIAÇÃO CULTURAL COMUNITÁRIA CAMPINA DO MONTE ALEGRE - SP,RUA FRANCO PICOLLI,Campina do Monte Alegre,SP,,23S353600/48W283600,290 / 105.90,ZYU907
ASSOCIACAO DE RADIODIFUSAO EDUCATIVA E COMUNITARIA ALIANCA DE AMOR,,,SP,( N ),,290 / 105.90,
CENTRAL CULTURAL COMUNITARIO AMARAIS,,,SP,( N ),,290 / 105.90,
ASSOCIAÇÃO CULTURAL COMUNITÁRIA ITATIAIA,RUA JANGADEIRO,Campinas,SP,( S ),22S551500/47W010500,290 / 105.90,ZYU725
ASSOCIAÇÃO CULTURAL COMUNITÁRIA NOVO MARACANÃ,RUA DINO PIOLI,Campinas,SP,,22S583100/47W111900,290 / 105.90,ZYU874
ASSOCIACAO DE COMUNICACAO COM.DO JD.CRISTINA-CAMPINAS-ACCJC,RUA ARMANDO FREDERICO RENGANESCHI; 18,Campinas,SP,( S ),22S575500/47W080300,290 / 105.90,ZYM900
ASSOCIAÇÃO DE COMUNICAÇÃO E RÁDIO COMUNITÁRIA DO BAIRRO SÃO BERNARDO - CAMPINAS,RUA GUARULHOS,Campinas,SP,( S ),22S552600/47W043000,290 / 105.90,ZYM827
ASSOCIACAO DOS NORDESTINOS DE CAMPOS DO JORDAO E REGIAO,,,SP,( N ),,285 / 104.90,
"ASSOCIAÇÃO COMUNITÁRIA CIDADÃ DE PROMOÇÃO EDUCACIONAL, CULTURAL, ARTÍSTICA, ESPORTIVA E COMUNICAÇÃO SOCIAL DE CANANÉIA",RUA JUVENAL DA SILVA FRAGA,Cananéia,SP,( S ),25S004100/47W554600,200 / 87.90,ZYM865
COMUNIDADE DO BAIRRO SANTA TEREZINHA,AVENIDA ALBERTO BROSETTO,Canas,SP,( S ),22S423600/45W031300,300 / 107.90,ZYU790
ASSOCIAÇÃO NOSSA SENHORA DAS DORES DE CÂNDIDO MOTA,"PRACA MONSENHOR DAVID, 141",Cândido Mota,SP,( S ),22S444500/50W231500,200 / 87.90,ZYM782
ASSOCIAÇÃO CULTURAL DE DIFUSÃO COMUNITÁRIA DE CANITAR - ACDCC,RUA JOAQUIM BERNARDO DE MENDONÇA,Canitar,SP,( S ),23S002300/49W470000,285 / 104.90,ZYU781
ASSOCIACAO COMUNITARIA FLOR DO PANEMA,RUA 13 DE MAIO,Capão Bonito,SP,( S ),24S002700/48W205100,285 / 104.90,ZYU710
ORGANIZACAO CAPELENSE DE AMPARO A INFANCIA,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO CULTURAL COMUNITÁRIA POPULAR FM DE CAPELA DO ALTO - ACCP - FM CA,RUA ISIDORO MOREIRA DOS SANTOS,Capela do Alto,SP,( S ),23S282800/47W442500,285 / 104.90,ZYM892
GRÊMIO DO PROJETO CULTURAL E CRIATIVO ALTERNATIVA,RUA BARÃO DO RIO BRANCO,Capivari,SP,( S ),23S000000/47W304600,292 / 106.30,ZYM779
ASSOCIAÇÃO COMUNITÁRIA CARAGUATATUBA,PRACA  CANDIDO MOTA,Caraguatatuba,SP,( S ),23S371700/45W244000,285 / 104.90,ZYM822
ASSOCIAÇÃO CULTURAL COMUNITÁRIA NEW LIFE,RUA  PICO DA BANDEIRA,Carapicuíba,SP,( S ),23S332200/46W504900,198 / 87.50,ZYU791
"ASSOC. DE DESENV. ARTÍSTICO, CULTURAL E SOCIAL DE CARDOSO",,,SP,( N ),,200 / 87.90,
ASSOCIAÇÃO AMIGOS DA CIDADE DE CASA BRANCA - ACCB,RUA IPIRANGA,Casa Branca,SP,( S ),21S464000/47W044400,200 / 87.90,ZYU801
ASSOCIACAO COMUNITARIA NOVA ACAO DE CASTILHO,"RUA PROJETADA 10,S/N - CONJ. HABIT. ALIPIO DE OLIV",Castilho,SP,( S ),20S513500/51W292000,200 / 87.90,ZYM805
RADIO COMUNITARIA CASTILHO FM,RUA BELARMINO FRANÇA,Castilho,SP,,20S531800/51W305200,200 / 87.90,ZYU795
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA CATANDUVENSE,RUA ESTÂNCIA,Catanduva,SP,( S ),21S073000/48W571500,285 / 104.90,ZYU730
"ASSOCIAÇÃO BENEFICENTE, CULTURAL DE COMUNICAÇÃO COMUNITÁRIA EDUCADORA",RUA JOÃO DE OLIVEIRA LEITE,Cedral,SP,( S ),20S542100/49W154600,290 / 105.90,ZYU688
ASSOCIACAO CULTURAL COMUNITARIA CERQUEIRENSE,RUA RIACHUELO,Cerqueira César,SP,( S ),23S020300/49W100000,200 / 87.90,ZYM685
ASSOCIAÇÃO CULTURAL ARTISTICA DE CERQUILHO,,,SP,( N ),,285 / 104.90,
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE CESÁRIO LANGE,RUA JOSÉ VIEIRA DE MIRANDA,Cesário Lange,SP,( S ),23S134600/47W573300,285 / 104.90,ZYU610
ASSOCIAÇÃO DE CULTURA E CIÊNCIA CLEMENTINA,RUA SÃO PAULO,Clementina,SP,,21S331100/50W261500,285 / 104.90,ZYU711
ASSOCIACAO COMUNITARIA DE COMUNICACOES DE COLINA,"AVENIDA ANTENOR JUNQUEIRA FRANCO, 37",Colina,SP,( S ),20S425000/48W315000,290 / 105.90,ZYM904
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL VALE DO RIO GRANDE,RUA WENCESLAU BRÁZ,Colômbia,SP,( S ),20S102700/48W411800,254 / 98.70,ZYU779
ASSOCIAÇÃO COMUNITÁRIA DE CONCHAL,RUA MOGI MIRIM,Conchal,SP,( S ),22S202800/47W100100,200 / 87.90,ZYU692
ASSOCIAÇÃO E MOVIMENTO COMUNITÁRIO RÁDIO PÉROLA - FM - AMCRP/FM,AVENIDA ALBERTO PALADINI,Conchas,SP,( S ),23S014300/48W005400,200 / 87.90,ZYM780
"ASSOCIAÇÃO CULTURAL, RECREATIVA E EDUCACIONAL DE CORDEIRÓPOLIS (ACRECO)",AVENIDA SAUDADE,Cordeirópolis,SP,( S ),22S290100/47W264500,292 / 106.30,ZYU668
ASSOCIAÇÃO COMUNITÁRIA RAINHA DA PAZ,RUA PRESIDENTE CASTELO BRANCO,Coronel Macedo,SP,( S ),23S375500/49W185300,200 / 87.90,ZYM828
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA COMPROMISSO COM A VERDADE E A VIDA,RUA DR. CAMPOS SALES,Cosmópolis,SP,( S ),22S384500/47W114900,285 / 104.90,ZYU759
"ASSOCIAÇÃO DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL E SOCIAL DE COSMORAMA",AVENIDA SABADOTTO,Cosmorama,SP,( S ),20S283900/49W463400,200 / 87.90,ZYU760
ASSOCIAÇÃO CULTURAL BENEFICENTE COMUNITÁRIA DE CAUCAIA DO ALTO - ACBC,ESTRADA DO CRUZEIRO,Cotia,SP,( S ),23S412300/47W015600,198 / 87.50,ZYU694
ASSOCIAÇÃO CULTURAL COMUNITÁRIA CIDADE DAS ROSAS,RUA INDUSQUIMA,Cotia,SP,( S ),23S363700/46W561000,198 / 87.50,ZYU773
